# Matter power spectrum P(k) at redshift z=0.5
# for k=4.20896e-05 to 10.5834 h/Mpc,
# number of wavenumbers equal to 116
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.208963753265e-05       3.513375921176e+03 
       5.298771426306e-05       2.306289395378e+03 
       6.670757999866e-05       1.667020108619e+03 
       8.397986761960e-05       1.337761364869e+03 
       1.057243894254e-04       1.189377564260e+03 
       1.330991204941e-04       1.157998878514e+03 
       1.675618650775e-04       1.213523763471e+03 
       2.109478899936e-04       1.344007203322e+03 
       2.655676592774e-04       1.547969750131e+03 
       3.343298748150e-04       1.830652936679e+03 
       4.208963753265e-04       2.202217367280e+03 
       5.298771426306e-04       2.676850856284e+03 
       6.670757999866e-04       3.272231768729e+03 
       8.397986761960e-04       4.008888478146e+03 
       1.057243894254e-03       4.909356656751e+03 
       1.330991204941e-03       5.996396918774e+03 
       1.675618650775e-03       7.289480291134e+03 
       2.109478899936e-03       8.799955451192e+03 
       2.655676592774e-03       1.052430965626e+04 
       3.343298748150e-03       1.243557024378e+04 
       4.208963753265e-03       1.446307530557e+04 
       5.298771426306e-03       1.650909264372e+04 
       6.670757999866e-03       1.839779110106e+04 
       8.397986761960e-03       1.987919162195e+04 
       1.057243894254e-02       2.062762355742e+04 
       1.330991204939e-02       2.026477496987e+04 
       1.675618639430e-02       1.847065297390e+04 
       2.109469897044e-02       1.523514698802e+04 
       2.654387524140e-02       1.119830846211e+04 
       3.299074992378e-02       7.782955616945e+03 
       3.847867271923e-02       6.179910312704e+03 
       4.244962478477e-02       5.577635939856e+03 
       4.571577631982e-02       5.306588213864e+03 
       4.862799404667e-02       5.160945985730e+03 
       5.134197168083e-02       5.056913230740e+03 
       5.393981707085e-02       4.950039273624e+03 
       5.647063491976e-02       4.815383849576e+03 
       5.896661737266e-02       4.639386681957e+03 
       6.145041722273e-02       4.417203103883e+03 
       6.393891355094e-02       4.151411856300e+03 
       6.644530049929e-02       3.850904733753e+03 
       6.898032321593e-02       3.529046995860e+03 
       7.155304798643e-02       3.201499477363e+03 
       7.417136275604e-02       2.884928859157e+03 
       7.684231391176e-02       2.594203869922e+03 
       7.957233948362e-02       2.340855116359e+03 
       8.236743447882e-02       2.132751005961e+03 
       8.523327036121e-02       1.973363481967e+03 
       8.817528269821e-02       1.861808949600e+03 
       9.119873617594e-02       1.793629248793e+03 
       9.430877318915e-02       1.760528124470e+03 
       9.751045030791e-02       1.751082772645e+03 
       1.008087656880e-01       1.750684623205e+03 
       1.042086796793e-01       1.743276379752e+03 
       1.077151303474e-01       1.713683725195e+03 
       1.113330452627e-01       1.651344218915e+03 
       1.150673506759e-01       1.553177173117e+03 
       1.189229790370e-01       1.425585200248e+03 
       1.229048757167e-01       1.282704996067e+03 
       1.270180057220e-01       1.142542314232e+03 
       1.312673611579e-01       1.021709637007e+03 
       1.356579701611e-01       9.312926706014e+02 
       1.401949080166e-01       8.751579274654e+02 
       1.448833111555e-01       8.500009365749e+02 
       1.497283947271e-01       8.445290935280e+02 
       1.547354744344e-01       8.428926168148e+02 
       1.599099933220e-01       8.288808819667e+02 
       1.652575542204e-01       7.919263299944e+02 
       1.707839585723e-01       7.316455201167e+02 
       1.764952524155e-01       6.586578792123e+02 
       1.823977803735e-01       5.893541168623e+02 
       1.884982486243e-01       5.371656276352e+02 
       1.948037979912e-01       5.069183402313e+02 
       2.013220885430e-01       4.943081699172e+02 
       2.080613974284e-01       4.877179520845e+02 
       2.150307321219e-01       4.734773837958e+02 
       2.222399618615e-01       4.447745794498e+02 
       2.296999708583e-01       4.060044072590e+02 
       2.374228379171e-01       3.685508460818e+02 
       2.454220485041e-01       3.420480030532e+02 
       2.537127471644e-01       3.275554592209e+02 
       2.623120406956e-01       3.182009061850e+02 
       2.712393658738e-01       3.047140384217e+02 
       2.805169401869e-01       2.837570603879e+02 
       2.901703204983e-01       2.607158652761e+02 
       3.002291036896e-01       2.427849102894e+02 
       3.107278164072e-01       2.313439907424e+02 
       3.217070600877e-01       2.213347640962e+02 
       3.332150057237e-01       2.079315463857e+02 
       3.453093756740e-01       1.926005952802e+02 
       3.580601161674e-01       1.800773606705e+02 
       3.715530694224e-01       1.707196575402e+02 
       3.858951259230e-01       1.605657180915e+02 
       4.012216257256e-01       1.490978264712e+02 
       4.177072787721e-01       1.392796249129e+02 
       4.355827789096e-01       1.305257675340e+02 
       4.551609919506e-01       1.209703998600e+02 
       4.768799755930e-01       1.120997347204e+02 
       5.013771612401e-01       1.035029987819e+02 
       5.296247981752e-01       9.473148981793e+01 
       5.631944296651e-01       8.606234591300e+01 
       6.048144501573e-01       7.711586375142e+01 
       6.596406094359e-01       6.765857584936e+01 
       7.382597802818e-01       5.737094553430e+01 
       8.623464361932e-01       4.607936158982e+01 
       1.060280538999e+00       3.487603123924e+01 
       1.332411141465e+00       2.595471271483e+01 
       1.677358949844e+00       1.940292025032e+01 
       2.111669623224e+00       1.450073320091e+01 
       2.658434549889e+00       1.076035992004e+01 
       3.346770810447e+00       7.879715168916e+00 
       4.213334820722e+00       5.665038377613e+00 
       5.304274274204e+00       3.982814056365e+00 
       6.677685674922e+00       2.730919948006e+00 
       8.406708188133e+00       1.823710063674e+00 
       1.058341856758e+01       1.186228120941e+00 
