# Matter power spectrum P(k) at redshift z=1.5
# for k=0.000183307 to 11.5805 h/Mpc,
# number of wavenumbers equal to 110
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.833074239288e-04       4.102550625830e+01 
       2.307703741545e-04       7.643498318733e+01 
       2.905226883124e-04       1.185287663043e+02 
       3.657463950192e-04       1.677759081148e+02 
       4.604474309618e-04       2.258100661351e+02 
       5.796689716331e-04       2.950675581653e+02 
       7.297599988176e-04       3.786646745789e+02 
       9.187134070223e-04       4.803913329338e+02 
       1.156591654256e-03       6.047556114307e+02 
       1.456062624612e-03       7.570373941716e+02 
       1.833074239288e-03       9.432985930554e+02 
       2.307703741545e-03       1.170278262350e+03 
       2.905226883124e-03       1.445102281560e+03 
       3.657463950192e-03       1.774678235877e+03 
       4.604474309618e-03       2.164669346155e+03 
       5.796689716331e-03       2.617788216394e+03 
       7.297599988176e-03       3.131156538867e+03 
       9.187134070223e-03       3.692541216018e+03 
       1.156591654256e-02       4.275240797158e+03 
       1.456062624612e-02       4.832273366522e+03 
       1.833074239217e-02       5.292458199334e+03 
       2.307703538164e-02       5.565613311095e+03 
       2.905143814157e-02       5.569978033983e+03 
       3.650544202331e-02       5.293594476243e+03 
       4.461945476011e-02       4.899783527630e+03 
       5.072210177489e-02       4.633053167750e+03 
       5.534509902116e-02       4.459633397618e+03 
       5.928537898051e-02       4.327270961167e+03 
       6.286606717012e-02       4.213972444134e+03 
       6.624061080056e-02       4.108695619020e+03 
       6.949415745201e-02       4.005066561019e+03 
       7.267952877157e-02       3.899220930998e+03 
       7.583232894253e-02       3.788946047305e+03 
       7.897817340745e-02       3.673291192665e+03 
       8.213650319666e-02       3.552353141595e+03 
       8.532275498693e-02       3.427112167319e+03 
       8.854967128053e-02       3.299262934753e+03 
       9.182813024334e-02       3.171015918799e+03 
       9.516769232225e-02       3.044862665930e+03 
       9.857697214848e-02       2.923313180179e+03 
       1.020638984280e-01       2.808621770617e+03 
       1.056358995785e-01       2.702522587403e+03 
       1.093000386793e-01       2.605999825076e+03 
       1.130631129127e-01       2.519117972526e+03 
       1.169317275601e-01       2.440939448686e+03 
       1.209123514087e-01       2.369557326135e+03 
       1.250113583679e-01       2.302270159655e+03 
       1.292350587549e-01       2.235915813896e+03 
       1.335897228223e-01       2.167354311377e+03 
       1.380815985128e-01       2.094046571979e+03 
       1.427169250316e-01       2.014621091154e+03 
       1.475019435695e-01       1.929278266700e+03 
       1.524429063369e-01       1.839881043361e+03 
       1.575460849614e-01       1.749639319174e+03 
       1.628177792298e-01       1.662409281527e+03 
       1.682643271132e-01       1.581754514316e+03 
       1.738921169875e-01       1.510005156136e+03 
       1.797076029416e-01       1.447572877101e+03 
       1.857173240573e-01       1.392741373103e+03 
       1.919279285329e-01       1.342071471870e+03 
       1.983462035257e-01       1.291425782807e+03 
       2.049791115896e-01       1.237395274821e+03 
       2.118338346058e-01       1.178637072164e+03 
       2.189178261478e-01       1.116491107981e+03 
       2.262388732884e-01       1.054445859161e+03 
       2.338051689773e-01       9.965735616253e+02 
       2.416253962891e-01       9.456318039951e+02 
       2.497088260898e-01       9.017524342480e+02 
       2.580654300221e-01       8.624059779110e+02 
       2.667060111830e-01       8.237805304090e+02 
       2.756423555035e-01       7.829777525986e+02 
       2.848874076928e-01       7.397543272254e+02 
       2.944554767241e-01       6.965448415778e+02 
       3.043624773278e-01       6.566015611461e+02 
       3.146262159206e-01       6.215648617539e+02 
       3.252667320301e-01       5.903097276976e+02 
       3.363067098060e-01       5.600157260449e+02 
       3.477719790323e-01       5.286670865441e+02 
       3.596921316863e-01       4.967746492549e+02 
       3.721012893679e-01       4.665673551011e+02 
       3.850390700734e-01       4.394424854187e+02 
       3.985518217491e-01       4.144808483411e+02 
       4.126942178672e-01       3.897507815962e+02 
       4.275313518502e-01       3.647912629715e+02 
       4.431415306459e-01       3.409298836513e+02 
       4.596200669058e-01       3.189872202208e+02 
       4.770845280469e-01       2.980015822488e+02 
       4.956821621687e-01       2.770736145975e+02 
       5.156006657080e-01       2.568517270690e+02 
       5.370842413537e-01       2.377527569890e+02 
       5.604583311611e-01       2.189887478432e+02 
       5.861691647708e-01       2.005344374990e+02 
       6.148498257666e-01       1.826434478374e+02 
       6.474364487869e-01       1.647937942594e+02 
       6.853853779003e-01       1.470326769809e+02 
       7.311088110289e-01       1.289742120562e+02 
       7.889204404942e-01       1.103346736353e+02 
       8.672401241772e-01       9.062099849326e+01 
       9.836768269480e-01       6.942840058816e+01 
       1.171651251663e+00       4.759486534871e+01 
       1.458596400422e+00       2.931198209655e+01 
       1.835398390141e+00       1.740652840996e+01 
       2.310619995053e+00       1.020567911742e+01 
       2.908898209525e+00       5.921172052069e+00 
       3.662085876289e+00       3.403087662257e+00 
       4.610292969833e+00       1.939283304444e+00 
       5.804014975538e+00       1.096644643740e+00 
       7.306821943139e+00       6.158258867827e-01 
       9.198743823673e+00       3.436295239849e-01 
       1.158053235621e+01       1.906354000977e-01 
