# Matter power spectrum P(k) at redshift z=2
# for k=6.71701e-05 to 10.659 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.717014548245e-05       1.172767838280e+03 
       8.456220306177e-05       7.653806753809e+02 
       1.064575063118e-04       5.494559338376e+02 
       1.340220599721e-04       4.377922878279e+02 
       1.687237770399e-04       3.866701529633e+02 
       2.124106504894e-04       3.744301567013e+02 
       2.674091656369e-04       3.908191174078e+02 
       3.366481939669e-04       4.317019245714e+02 
       4.238149662196e-04       4.964504573311e+02 
       5.335514308725e-04       5.866657228020e+02 
       6.717014548245e-04       7.055544471384e+02 
       8.456220306177e-04       8.576098937626e+02 
       1.064575063118e-03       1.048409272719e+03 
       1.340220599721e-03       1.284406630541e+03 
       1.687237770399e-03       1.572574774136e+03 
       2.124106504894e-03       1.919696715957e+03 
       2.674091656369e-03       2.331225876084e+03 
       3.366481939669e-03       2.809676476135e+03 
       4.238149662196e-03       3.352255073712e+03 
       5.335514308725e-03       3.947649110081e+03 
       6.717014548245e-03       4.572144284722e+03 
       8.456220306177e-03       5.185057300462e+03 
       1.064575063118e-02       5.724524513164e+03 
       1.340220599721e-02       6.106207222255e+03 
       1.687237767931e-02       6.231737740682e+03 
       2.124103619154e-02       6.019242509107e+03 
       2.673525052371e-02       5.466049752252e+03 
       3.340856942524e-02       4.736814204355e+03 
       3.958622113504e-02       4.196147197553e+03 
       4.400671819964e-02       3.906467031323e+03 
       4.755900936784e-02       3.718220933582e+03 
       5.068768272734e-02       3.572630214955e+03 
       5.358293005117e-02       3.445677620819e+03 
       5.634202091016e-02       3.325412696833e+03 
       5.902186855556e-02       3.205346712021e+03 
       6.165917959507e-02       3.082088764925e+03 
       6.427945317447e-02       2.954326944394e+03 
       6.690148927097e-02       2.822289337360e+03 
       6.953985254815e-02       2.687371158448e+03 
       7.220631322709e-02       2.551805915476e+03 
       7.491073644325e-02       2.418334580542e+03 
       7.766165578692e-02       2.289865131718e+03 
       8.046665675033e-02       2.169136334680e+03 
       8.333264083880e-02       2.058406094513e+03 
       8.626601200860e-02       1.959188205688e+03 
       8.927281092935e-02       1.872056253926e+03 
       9.235881321183e-02       1.796531254417e+03 
       9.552960213176e-02       1.731068287030e+03 
       9.879062291469e-02       1.673161542884e+03 
       1.021472234525e-01       1.619590915539e+03 
       1.056046849035e-01       1.566822600861e+03 
       1.091682446984e-01       1.511548755886e+03 
       1.128431138549e-01       1.451296691554e+03 
       1.166344900957e-01       1.384977256882e+03 
       1.205475679897e-01       1.313205588223e+03 
       1.245875471545e-01       1.238247490842e+03 
       1.287596394445e-01       1.163541392101e+03 
       1.330690759691e-01       1.092881219308e+03 
       1.375211147428e-01       1.029468200736e+03 
       1.421210497355e-01       9.750838862881e+02 
       1.468742220772e-01       9.296012815550e+02 
       1.517860341533e-01       8.909747937423e+02 
       1.568619673252e-01       8.557725856483e+02 
       1.621076040004e-01       8.202072597710e+02 
       1.675286547806e-01       7.814284028150e+02 
       1.731309914242e-01       7.386048137337e+02 
       1.789206863833e-01       6.932482897823e+02 
       1.849040597191e-01       6.485056514029e+02 
       1.910877342746e-01       6.076886571756e+02 
       1.974787000975e-01       5.727479536929e+02 
       2.040843892794e-01       5.434236120417e+02 
       2.109127626140e-01       5.174771806785e+02 
       2.179724098156e-01       4.919404304624e+02 
       2.252726654853e-01       4.647960243249e+02 
       2.328237436159e-01       4.360994007799e+02 
       2.406368942236e-01       4.077300404527e+02 
       2.487245867489e-01       3.819008857365e+02 
       2.571007262644e-01       3.595335043526e+02 
       2.657809103836e-01       3.397075974707e+02 
       2.747827372505e-01       3.205690153712e+02 
       2.841261783559e-01       3.009442075326e+02 
       2.938340345279e-01       2.812343314949e+02 
       3.039324998292e-01       2.627412769706e+02 
       3.144518670627e-01       2.461722372570e+02 
       3.254274214082e-01       2.309566722618e+02 
       3.369005873185e-01       2.160743621194e+02 
       3.489204213258e-01       2.013072010068e+02 
       3.615455849261e-01       1.872842533959e+02 
       3.748469956994e-01       1.743640181816e+02 
       3.889114558553e-01       1.621138158268e+02 
       4.038467211657e-01       1.501286313901e+02 
       4.197887466775e-01       1.386278322254e+02 
       4.369123174430e-01       1.277759583878e+02 
       4.554471176260e-01       1.172891851757e+02 
       4.757028702052e-01       1.070953447220e+02 
       4.981102738392e-01       9.727588253928e+01 
       5.232908673175e-01       8.765633141952e+01 
       5.521830460499e-01       7.819502588679e+01 
       5.862846516997e-01       6.877145120182e+01 
       6.281563364602e-01       5.924808217759e+01 
       6.825520122674e-01       4.942532877183e+01 
       7.590943818330e-01       3.908494464160e+01 
       8.778358843546e-01       2.822357883855e+01 
       1.069654506845e+00       1.798147029060e+01 
       1.341992993020e+00       1.060673268170e+01 
       1.689345579176e+00       6.144184979448e+00 
       2.126759401776e+00       3.525409285068e+00 
       2.677431455100e+00       2.005815198223e+00 
       3.370686497162e+00       1.132550917577e+00 
       4.243442886469e+00       6.350644752142e-01 
       5.342178083273e+00       3.538683396428e-01 
       6.725403743362e+00       1.960505196585e-01 
       8.466781677094e+00       1.080454983749e-01 
       1.065904660941e+01       5.925734005328e-02 
