# Matter power spectrum P(k) at redshift z=2
# for k=0.000178884 to 11.2983 h/Mpc,
# number of wavenumbers equal to 110
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.788838047851e-04       7.810986006454e+01 
       2.252013676024e-04       1.451195962181e+02 
       2.835117244455e-04       2.243681271829e+02 
       3.569201144460e-04       3.165551751627e+02 
       4.493358020566e-04       4.244840642539e+02 
       5.656802596380e-04       5.522857177451e+02 
       7.121492538085e-04       7.050600709057e+02 
       8.965427926098e-04       8.886850877261e+02 
       1.128680504377e-03       1.109655924137e+03 
       1.420924568757e-03       1.374834857428e+03 
       1.788838047851e-03       1.690922663538e+03 
       2.252013676024e-03       2.063493689964e+03 
       2.835117244455e-03       2.495627015774e+03 
       3.569201144460e-03       2.985998395976e+03 
       4.493358020566e-03       3.524184357083e+03 
       5.656802596380e-03       4.094787159468e+03 
       7.121492538086e-03       4.663908451191e+03 
       8.965427926098e-03       5.181590902481e+03 
       1.128680504377e-02       5.578232336087e+03 
       1.420924568753e-02       5.767560983549e+03 
       1.788838025764e-02       5.663168273414e+03 
       2.251998645748e-02       5.220619335084e+03 
       2.833218364651e-02       4.506024107312e+03 
       3.511033349045e-02       3.771944614480e+03 
       4.069591084315e-02       3.339936746076e+03 
       4.477180042429e-02       3.112255166379e+03 
       4.815365006440e-02       2.961182137283e+03 
       5.118298315691e-02       2.842249391865e+03 
       5.401369494634e-02       2.736493609994e+03 
       5.672792215570e-02       2.634321856163e+03 
       5.937520931694e-02       2.530640415879e+03 
       6.198824701844e-02       2.423032200947e+03 
       6.459015674452e-02       2.310925543518e+03 
       6.719823974833e-02       2.195113058915e+03 
       6.982606877233e-02       2.077386174118e+03 
       7.248473151486e-02       1.960194302174e+03 
       7.518360837321e-02       1.846303795862e+03 
       7.793087947830e-02       1.738461258700e+03 
       8.073386673147e-02       1.639079744201e+03 
       8.359927114477e-02       1.549970462706e+03 
       8.653334139991e-02       1.472138326848e+03 
       8.954199582598e-02       1.405651443768e+03 
       9.263091197326e-02       1.349592282021e+03 
       9.580559310718e-02       1.302099151181e+03 
       9.907141792637e-02       1.260515318344e+03 
       1.024336778840e-01       1.221666477520e+03 
       1.058976052416e-01       1.182277581829e+03 
       1.094683941625e-01       1.139502887644e+03 
       1.131512166030e-01       1.091484279951e+03 
       1.169512343992e-01       1.037795734722e+03 
       1.208736087005e-01       9.796121917634e+02 
       1.249235077464e-01       9.194934216651e+02 
       1.291061138772e-01       8.607897060934e+02 
       1.334266306040e-01       8.068137274158e+02 
       1.378902905237e-01       7.600064045621e+02 
       1.425023648377e-01       7.213179919126e+02 
       1.472681752168e-01       6.899532880648e+02 
       1.521931087453e-01       6.635548499364e+02 
       1.572826366681e-01       6.388428540522e+02 
       1.625423376626e-01       6.126327354034e+02 
       1.679779263600e-01       5.829598808755e+02 
       1.735952878520e-01       5.498411143323e+02 
       1.794005189481e-01       5.152271304387e+02 
       1.853999770001e-01       4.820702446899e+02 
       1.916003371925e-01       4.529392083346e+02 
       1.980086593306e-01       4.288653365006e+02 
       2.046324653386e-01       4.089526733213e+02 
       2.114798289508e-01       3.909235142209e+02 
       2.185594794322e-01       3.723827114665e+02 
       2.258809216576e-01       3.521721411350e+02 
       2.334545755207e-01       3.309572259556e+02 
       2.412919385041e-01       3.105791045464e+02 
       2.494057763740e-01       2.926327162861e+02 
       2.578103484635e-01       2.773456361445e+02 
       2.665216760104e-01       2.635657812366e+02 
       2.755578647012e-01       2.498214432287e+02 
       2.849394962188e-01       2.355689030363e+02 
       2.946901086006e-01       2.214983771740e+02 
       3.048367921796e-01       2.086256476758e+02 
       3.154109377210e-01       1.971739961482e+02 
       3.264491874834e-01       1.864529509421e+02 
       3.379946605352e-01       1.757839801710e+02 
       3.500985542845e-01       1.652753576821e+02 
       3.628222706637e-01       1.554526057576e+02 
       3.762402875157e-01       1.463794129709e+02 
       3.904441103934e-01       1.376351960073e+02 
       4.055478273471e-01       1.290659193636e+02 
       4.216961048823e-01       1.209041465152e+02 
       4.390760134011e-01       1.131446522887e+02 
       4.579350669881e-01       1.055678857634e+02 
       4.786097482805e-01       9.820358419302e+01 
       5.015725396674e-01       9.104288790997e+01 
       5.275133737796e-01       8.395638575425e+01 
       5.574891100449e-01       7.691290058605e+01 
       5.932171508000e-01       6.978228431367e+01 
       6.376984921719e-01       6.242670327509e+01 
       6.966454747697e-01       5.462525408551e+01 
       7.818485580735e-01       4.610016040667e+01 
       9.171721665488e-01       3.675879585109e+01 
       1.131384564271e+00       2.765181153141e+01 
       1.422395778510e+00       2.052958384469e+01 
       1.790656629356e+00       1.531688720671e+01 
       2.254303021966e+00       1.141681746186e+01 
       2.837999360186e+00       8.438378162947e+00 
       3.572829513193e+00       6.143267918559e+00 
       4.497925866167e+00       4.381146498069e+00 
       5.662553173284e+00       3.048458373931e+00 
       7.128732085483e+00       2.064287654208e+00 
       8.974541976287e+00       1.358867241230e+00 
       1.129827895316e+01       8.700901421437e-01 
