# Matter power spectrum P(k) at redshift z=2.5
# for k=0.00014962 to 11.9 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.496203171241e-04       5.105603702096e+01 
       1.883608193482e-04       9.467909284712e+01 
       2.371322220638e-04       1.461250654075e+02 
       2.985317803114e-04       2.058367259825e+02 
       3.758292444621e-04       2.756485862492e+02 
       4.731409863488e-04       3.582940817495e+02 
       5.956492110758e-04       4.571983516031e+02 
       7.498779283385e-04       5.763885408707e+02 
       9.440403797289e-04       7.204273583232e+02 
       1.188476423801e-03       8.943146818769e+02 
       1.496203171241e-03       1.103309348202e+03 
       1.883608193482e-03       1.352561369149e+03 
       2.371322220638e-03       1.646370383885e+03 
       2.985317803114e-03       1.987063625185e+03 
       3.758292444621e-03       2.373554387412e+03 
       4.731409863488e-03       2.799328190633e+03 
       5.956492110758e-03       3.248017498209e+03 
       7.498779283385e-03       3.697605984554e+03 
       9.440403797289e-03       4.108186760338e+03 
       1.188476423801e-02       4.425792285868e+03 
       1.496203171241e-02       4.582431716874e+03 
       1.883608191286e-02       4.506730897342e+03 
       2.371319502928e-02       4.153686652731e+03 
       2.984758848359e-02       3.557899154620e+03 
       3.731989867749e-02       2.893171547600e+03 
       4.432111667824e-02       2.454099809177e+03 
       4.933018227435e-02       2.244330641225e+03 
       5.334112231662e-02       2.120290137796e+03 
       5.686708138506e-02       2.030390683663e+03 
       6.012648544847e-02       1.954440441917e+03 
       6.323053407929e-02       1.882633085043e+03 
       6.624407963693e-02       1.809746798886e+03 
       6.920884819950e-02       1.733137758583e+03 
       7.215377100796e-02       1.651894108820e+03 
       7.510014543109e-02       1.566387362297e+03 
       7.806444934248e-02       1.477952545013e+03 
       8.105998413790e-02       1.388596904288e+03 
       8.409788745408e-02       1.300703696127e+03 
       8.718778552159e-02       1.216734377780e+03 
       9.033822889329e-02       1.138946023414e+03 
       9.355699233295e-02       1.069146921093e+03 
       9.685128637371e-02       1.008508538194e+03 
       1.002279095930e-01       9.574416003375e+02 
       1.036933599743e-01       9.155370411189e+02 
       1.072539173310e-01       8.815718170105e+02 
       1.109157048204e-01       8.535859189749e+02 
       1.146847350781e-01       8.290511374577e+02 
       1.185669448893e-01       8.051551327256e+02 
       1.225682212547e-01       7.792074398217e+02 
       1.266944210073e-01       7.491259931873e+02 
       1.309513856694e-01       7.139010846843e+02 
       1.353449529277e-01       6.738867489927e+02 
       1.398809658998e-01       6.307821096169e+02 
       1.445652812302e-01       5.872509389589e+02 
       1.494037769715e-01       5.462616061673e+02 
       1.544023611479e-01       5.103378933979e+02 
       1.595669818703e-01       4.809335230318e+02 
       1.649036398461e-01       4.580784449549e+02 
       1.704184041166e-01       4.403613038618e+02 
       1.761174318422e-01       4.252735683385e+02 
       1.820069929546e-01       4.099158747559e+02 
       1.880935004908e-01       3.919580887313e+02 
       1.943835474381e-01       3.705293361674e+02 
       2.008839509427e-01       3.465756872060e+02 
       2.076018047823e-01       3.223980117170e+02 
       2.145445410898e-01       3.005486859480e+02 
       2.217200024381e-01       2.826554126205e+02 
       2.291365255884e-01       2.687389478717e+02 
       2.368030384735e-01       2.572982622389e+02 
       2.447291723557e-01       2.461334490479e+02 
       2.529253916049e-01       2.335747729479e+02 
       2.614031442085e-01       2.194372243659e+02 
       2.701750370179e-01       2.049978309342e+02 
       2.792550409092e-01       1.919578368059e+02 
       2.886587325923e-01       1.811871704908e+02 
       2.984035818709e-01       1.721877010208e+02 
       3.085092959272e-01       1.636249484409e+02 
       3.189982359520e-01       1.544984650601e+02 
       3.298959265699e-01       1.449495788047e+02 
       3.412316856088e-01       1.359265619981e+02 
       3.530394117534e-01       1.280846521607e+02 
       3.653585818699e-01       1.211335127337e+02 
       3.782355304790e-01       1.143076955470e+02 
       3.917251144300e-01       1.073352832466e+02 
       4.058929119221e-01       1.006476907899e+02 
       4.208181760297e-01       9.460177333346e+01 
       4.365978749089e-01       8.894753546711e+01 
       4.533523323150e-01       8.333911890744e+01 
       4.712332847303e-01       7.790139914071e+01 
       4.904356931884e-01       7.281636310684e+01 
       5.112155813907e-01       6.790308519859e+01 
       5.339179134653e-01       6.307688242183e+01 
       5.590219333359e-01       5.842973273345e+01 
       5.872184302369e-01       5.385312531442e+01 
       6.195488658728e-01       4.931800400476e+01 
       6.576726656236e-01       4.476606471320e+01 
       7.044205856514e-01       4.011227317289e+01 
       7.650347752400e-01       3.523355982379e+01 
       8.501026933497e-01       2.996716790347e+01 
       9.817209527318e-01       2.418992802775e+01 
       1.194576085852e+00       1.828337089615e+01 
       1.498249598235e+00       1.342691874697e+01 
       1.886027231996e+00       9.913297320906e+00 
       2.374366704538e+00       7.343027144302e+00 
       2.989150580454e+00       5.416639748863e+00 
       3.763117625413e+00       3.950638449084e+00 
       4.737484406203e+00       2.831251082128e+00 
       5.964139506948e+00       1.984064508277e+00 
       7.508406784782e+00       1.355174421197e+00 
       9.452524103450e+00       9.006833422898e-01 
       1.190002279943e+01       5.823479299250e-01 
