# Matter power spectrum P(k) at redshift z=0.5
# for k=2.84024e-05 to 11.3219 h/Mpc,
# number of wavenumbers equal to 118
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.840244147227e-05       2.821157130703e+03 
       3.575655532644e-05       1.851183798917e+03 
       4.501483613868e-05       1.336197245613e+03 
       5.667032112274e-05       1.070495869964e+03 
       7.134370735595e-05       9.507311158500e+02 
       8.981640616201e-05       9.258078742101e+02 
       1.130721561134e-04       9.718745420669e+02 
       1.423494106975e-04       1.079897448084e+03 
       1.792072904810e-04       1.249570346594e+03 
       2.256086119653e-04       1.486431390363e+03 
       2.840244147227e-04       1.800612542495e+03 
       3.575655532644e-04       2.206410925442e+03 
       4.501483613868e-04       2.722240391016e+03 
       5.667032112274e-04       3.370696016567e+03 
       7.134370735595e-04       4.178539458752e+03 
       8.981640616201e-04       5.176375947014e+03 
       1.130721561134e-03       6.397557600018e+03 
       1.423494106975e-03       7.875656035081e+03 
       1.792072904810e-03       9.640115103978e+03 
       2.256086119653e-03       1.170947835768e+04 
       2.840244147227e-03       1.408207000809e+04 
       3.575655532644e-03       1.672357105575e+04 
       4.501483613868e-03       1.951500486849e+04 
       5.667032112274e-03       2.236316252775e+04 
       7.134370735595e-03       2.500881131476e+04 
       8.981640616201e-03       2.711803007522e+04 
       1.130721561134e-02       2.825932676757e+04 
       1.423494106901e-02       2.795487159794e+04 
       1.792072707752e-02       2.584467648145e+04 
       2.256010187891e-02       2.201661362850e+04 
       2.834213912764e-02       1.739795513754e+04 
       3.457230119317e-02       1.386713024627e+04 
       3.922093676092e-02       1.225974920267e+04 
       4.275920889616e-02       1.146126495872e+04 
       4.578357999751e-02       1.095548196533e+04 
       4.853620882931e-02       1.056344703134e+04 
       5.113278653790e-02       1.020464005994e+04 
       5.363778967036e-02       9.837329778338e+03 
       5.609134299436e-02       9.439966525505e+03 
       5.852055799806e-02       9.004008877366e+03 
       6.094497813523e-02       8.530446178949e+03 
       6.337946023408e-02       8.027497039150e+03 
       6.583581742621e-02       7.508565610347e+03 
       6.832381282396e-02       6.990156084353e+03 
       7.085178979892e-02       6.489744633740e+03 
       7.342708764033e-02       6.023746913143e+03 
       7.605632463441e-02       5.605769278474e+03 
       7.874559604324e-02       5.245293197366e+03 
       8.150061561153e-02       4.946853393922e+03 
       8.432681848887e-02       4.709673782786e+03 
       8.722943710013e-02       4.527679954885e+03 
       9.021355761700e-02       4.389850283532e+03 
       9.328416224874e-02       4.280992490365e+03 
       9.644616100919e-02       4.183152293959e+03 
       9.970441559802e-02       4.077850825095e+03 
       1.030637573610e-01       3.949105324270e+03 
       1.065290008459e-01       3.786736744873e+03 
       1.101049541737e-01       3.589011923107e+03 
       1.137964272441e-01       3.363517867650e+03 
       1.176082386689e-01       3.125574661554e+03 
       1.215452222404e-01       2.894392667556e+03 
       1.256122336895e-01       2.688126039140e+03 
       1.298141584571e-01       2.519375580574e+03 
       1.341559211800e-01       2.392314868880e+03 
       1.386424975795e-01       2.301857696651e+03 
       1.432789294327e-01       2.234860220986e+03 
       1.480703433004e-01       2.173436040392e+03 
       1.530219736827e-01       2.100326974294e+03 
       1.581391912818e-01       2.005128998419e+03 
       1.634275370619e-01       1.888592281640e+03 
       1.688927628335e-01       1.762126934474e+03 
       1.745408791426e-01       1.642150602463e+03 
       1.803782113361e-01       1.542265050185e+03 
       1.864114648119e-01       1.467368839041e+03 
       1.926478006536e-01       1.412130235942e+03 
       1.990949231258e-01       1.364113926042e+03 
       2.057611808713e-01       1.310495671248e+03 
       2.126556841519e-01       1.245395228557e+03 
       2.197884411304e-01       1.173010041688e+03 
       2.271705170666e-01       1.103710179319e+03 
       2.348142214513e-01       1.046028072072e+03 
       2.427333296334e-01       1.000824774592e+03 
       2.509433475412e-01       9.616061012257e+02 
       2.594618308487e-01       9.204106762404e+02 
       2.683087736945e-01       8.746164329091e+02 
       2.775070872249e-01       8.284238683814e+02 
       2.870831954695e-01       7.875220481061e+02 
       2.970677863100e-01       7.529345937457e+02 
       3.074967700987e-01       7.206794056950e+02 
       3.184125202000e-01       6.871270172301e+02 
       3.298655022141e-01       6.532288351288e+02 
       3.419164482780e-01       6.220825653365e+02 
       3.546393104256e-01       5.938957718932e+02 
       3.681253513911e-01       5.662289094552e+02 
       3.824889364054e-01       5.384619928542e+02 
       3.978759387449e-01       5.121088243625e+02 
       4.144762876301e-01       4.870231600089e+02 
       4.325433175193e-01       4.620022961532e+02 
       4.524247494828e-01       4.374503507808e+02 
       4.746145286161e-01       4.132615021851e+02 
       4.998441661396e-01       3.888026632747e+02 
       5.292538231027e-01       3.639759927280e+02 
       5.647363949300e-01       3.380779952511e+02 
       6.096864003491e-01       3.103337563326e+02 
       6.707489877351e-01       2.793989622647e+02 
       7.618345522189e-01       2.433389776294e+02 
       9.090643947526e-01       2.010643218645e+02 
       1.132666278069e+00       1.579149726266e+02 
       1.425353715792e+00       1.212372023729e+02 
       1.794407771150e+00       9.130684633374e+01 
       2.259025530573e+00       6.711684336526e+01 
       2.843944646327e+00       4.794988159003e+01 
       3.580314184997e+00       3.321628039310e+01 
       4.507348509700e+00       2.231677050663e+01 
       5.674415578674e+00       1.457925863946e+01 
       7.143665969074e+00       9.295490823602e+00 
       8.993342621836e+00       5.807436927853e+00 
       1.132194756360e+01       3.569056143552e+00 
