# Matter power spectrum P(k) at redshift z=1
# for k=0.000129532 to 10.303 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.295320543756e-04       5.185319904674e+01 
       1.630711948953e-04       9.599256319739e+01 
       2.052944711853e-04       1.479051993381e+02 
       2.584504266761e-04       2.080119621512e+02 
       3.253698098315e-04       2.781484833775e+02 
       4.096163218275e-04       3.610692681879e+02 
       5.156763966344e-04       4.602534233783e+02 
       6.491981199854e-04       5.798441450665e+02 
       8.172920105387e-04       7.246291172938e+02 
       1.028909680923e-03       9.000056746606e+02 
       1.295320543756e-03       1.111884839892e+03 
       1.630711948953e-03       1.366451064535e+03 
       2.052944711853e-03       1.669628529979e+03 
       2.584504266761e-03       2.026179437949e+03 
       3.253698098315e-03       2.438429132069e+03 
       4.096163218275e-03       2.904515008935e+03 
       5.156763966344e-03       3.416261198130e+03 
       6.491981199854e-03       3.956784212849e+03 
       8.172920105387e-03       4.498332022890e+03 
       1.028909680923e-02       5.000752532751e+03 
       1.295320543756e-02       5.411444315626e+03 
       1.630711948953e-02       5.668136286965e+03 
       2.052944711688e-02       5.707394367556e+03 
       2.584503870188e-02       5.483586945681e+03 
       3.253558163542e-02       5.001080402247e+03 
       4.085825492113e-02       4.352031843799e+03 
       4.968043414585e-02       3.766390279515e+03 
       5.619230782066e-02       3.418581238334e+03 
       6.118469433927e-02       3.188839697331e+03 
       6.547008308494e-02       3.008646505475e+03 
       6.937943229855e-02       2.853143847787e+03 
       7.307229708559e-02       2.711461655436e+03 
       7.663818251048e-02       2.578342265060e+03 
       8.013305420980e-02       2.451261523092e+03 
       8.359486538181e-02       2.329202432880e+03 
       8.705105552394e-02       2.212023638841e+03 
       9.052253544987e-02       2.100073698581e+03 
       9.402596706848e-02       1.993920627284e+03 
       9.757514592458e-02       1.894145738177e+03 
       1.011818800355e-01       1.801183773444e+03 
       1.048565705069e-01       1.715204558847e+03 
       1.086086075398e-01       1.636037963099e+03 
       1.124466477256e-01       1.563145671569e+03 
       1.163788124414e-01       1.495643727604e+03 
       1.204128322603e-01       1.432377642861e+03 
       1.245561534679e-01       1.372047701911e+03 
       1.288160173750e-01       1.313374662576e+03 
       1.331995197276e-01       1.255284749368e+03 
       1.377136553361e-01       1.197081975892e+03 
       1.423653516270e-01       1.138567947567e+03 
       1.471614938770e-01       1.080071594933e+03 
       1.521089442669e-01       1.022367049861e+03 
       1.572145564740e-01       9.664850206728e+02 
       1.624851872482e-01       9.134552492072e+02 
       1.679277062343e-01       8.640416390995e+02 
       1.735490051869e-01       8.185405717183e+02 
       1.793560076543e-01       7.767014862563e+02 
       1.853556801560e-01       7.378010997106e+02 
       1.915550458551e-01       7.008616852358e+02 
       1.979612017058e-01       6.649564770795e+02 
       2.045813400435e-01       6.295029605897e+02 
       2.114227755790e-01       5.944307762298e+02 
       2.184929787532e-01       5.601467852679e+02 
       2.257996164206e-01       5.273045471876e+02 
       2.333506008487e-01       4.964799644255e+02 
       2.411541480718e-01       4.679052594294e+02 
       2.492188467167e-01       4.413866614604e+02 
       2.575537385521e-01       4.164391472625e+02 
       2.661684122088e-01       3.925578417160e+02 
       2.750731118011e-01       3.694688612195e+02 
       2.842788625725e-01       3.472133704541e+02 
       2.937976162264e-01       3.260263899028e+02 
       3.036424193164e-01       3.061112962273e+02 
       3.138276090295e-01       2.874774890449e+02 
       3.243690419515e-01       2.699480999904e+02 
       3.352843630751e-01       2.533051531882e+02 
       3.465933245242e-01       2.374346499213e+02 
       3.583181664233e-01       2.223512148031e+02 
       3.704840763324e-01       2.081051930323e+02 
       3.831197490951e-01       1.946838106419e+02 
       3.962580764484e-01       1.820038070738e+02 
       4.099370062242e-01       1.699798278182e+02 
       4.242006258696e-01       1.585742074374e+02 
       4.391005465010e-01       1.477765146207e+02 
       4.546976952943e-01       1.375588781684e+02 
       4.710646713045e-01       1.278721056014e+02 
       4.882888921477e-01       1.186739938191e+02 
       5.064768721938e-01       1.099372259935e+02 
       5.257601546923e-01       1.016318696016e+02 
       5.463037204964e-01       9.372028843258e+01 
       5.683182079592e-01       8.616725314149e+01 
       5.920781830748e-01       7.893916366662e+01 
       6.179503628756e-01       7.199824866663e+01 
       6.464388995143e-01       6.530311161089e+01 
       6.782613333280e-01       5.880921582091e+01 
       7.144828135689e-01       5.246379424571e+01 
       7.567683440961e-01       4.620273514179e+01 
       8.078920736035e-01       3.994431098179e+01 
       8.728502502530e-01       3.357898873495e+01 
       9.614670070535e-01       2.696950368638e+01 
       1.094330235330e+00       2.003893350689e+01 
       1.309422569285e+00       1.319337935887e+01 
       1.633474621104e+00       7.810429040900e+00 
       2.055731494933e+00       4.484375963393e+00 
       2.588005859334e+00       2.549615832512e+00 
       3.258106330747e+00       1.437888227973e+00 
       4.101712854103e+00       8.049904080047e-01 
       5.163750543913e+00       4.476780129800e-01 
       6.500776779898e+00       2.474626761682e-01 
       8.183993084615e+00       1.360351772863e-01 
       1.030303686417e+01       7.440329701353e-02 
