# Matter power spectrum P(k) at redshift z=0.5
# for k=3.75174e-05 to 11.8765 h/Mpc,
# number of wavenumbers equal to 117
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.751744094618e-05       9.181390510089e+02 
       4.723165979263e-05       6.006403524545e+02 
       5.946113675416e-05       4.322363774171e+02 
       7.485713607399e-05       3.452427615558e+02 
       9.423955085768e-05       3.056968125226e+02 
       1.186405653708e-04       2.967940559648e+02 
       1.493596226149e-04       3.106400956038e+02 
       1.880326244059e-04       3.441608336137e+02 
       2.367190491110e-04       3.971004809521e+02 
       2.980116263815e-04       4.710754111947e+02 
       3.751744094618e-04       5.691679516615e+02 
       4.723165979263e-04       6.957988594436e+02 
       5.946113675416e-04       8.567406148091e+02 
       7.485713607399e-04       1.059191493861e+03 
       9.423955085768e-04       1.311855881173e+03 
       1.186405653708e-03       1.624977911718e+03 
       1.493596226149e-03       2.010232280603e+03 
       1.880326244059e-03       2.480292243281e+03 
       2.367190491110e-03       3.047907258013e+03 
       2.980116263815e-03       3.724336668613e+03 
       3.751744094618e-03       4.516863013724e+03 
       4.723165979263e-03       5.425306394504e+03 
       5.946113675416e-03       6.437267291223e+03 
       7.485713607399e-03       7.522126390299e+03 
       9.423955085768e-03       8.624423865887e+03 
       1.186405653708e-02       9.656982648301e+03 
       1.493596226149e-02       1.049633650636e+04 
       1.880326244057e-02       1.098624991455e+04 
       2.367190476479e-02       1.096292239410e+04 
       2.980104380012e-02       1.032283472039e+04 
       3.750010044808e-02       9.139923799583e+03 
       4.662662142450e-02       7.808315137538e+03 
       5.443452256330e-02       6.948673746764e+03 
       6.007792276218e-02       6.482070182581e+03 
       6.471345019563e-02       6.165542388920e+03 
       6.884372123773e-02       5.912196518389e+03 
       7.269125690698e-02       5.685737436962e+03 
       7.637319450267e-02       5.468176860907e+03 
       7.995949721144e-02       5.250146738825e+03 
       8.349598691750e-02       5.027284101794e+03 
       8.701488244107e-02       4.798582842934e+03 
       9.054017543964e-02       4.565448711948e+03 
       9.409060973609e-02       4.331001906934e+03 
       9.768144297401e-02       4.099453187089e+03 
       1.013255437008e-01       3.875498023920e+03 
       1.050341040497e-01       3.663729590644e+03 
       1.088171190913e-01       3.468097054694e+03 
       1.126837186499e-01       3.291443396820e+03 
       1.166424024921e-01       3.135153541785e+03 
       1.207012102517e-01       2.998937288970e+03 
       1.248678460621e-01       2.880768339700e+03 
       1.291497709962e-01       2.777004725499e+03 
       1.335542721477e-01       2.682721246296e+03 
       1.380885144748e-01       2.592278962452e+03 
       1.427595797687e-01       2.500121843063e+03 
       1.475744959514e-01       2.401719501769e+03 
       1.525402591409e-01       2.294481706122e+03 
       1.576638504084e-01       2.178396424983e+03 
       1.629522488130e-01       2.056145933332e+03 
       1.684124420755e-01       1.932567407211e+03 
       1.740514361077e-01       1.813524099379e+03 
       1.798762645201e-01       1.704458335945e+03 
       1.858939991737e-01       1.609010317552e+03 
       1.921117628050e-01       1.528066913591e+03 
       1.985367447312e-01       1.459494580875e+03 
       2.051762206256e-01       1.398682788229e+03 
       2.120375773444e-01       1.339877452678e+03 
       2.191283437815e-01       1.278044787348e+03 
       2.264562287282e-01       1.210672223000e+03 
       2.340291667336e-01       1.138702544926e+03 
       2.418553729928e-01       1.066021419760e+03 
       2.499434083618e-01       9.976142787917e+02 
       2.583022556998e-01       9.372509692712e+02 
       2.669414089142e-01       8.858167189700e+02 
       2.758709763229e-01       8.410710568534e+02 
       2.851018002959e-01       7.989650314177e+02 
       2.946455956138e-01       7.559136381282e+02 
       3.045151096159e-01       7.107794204422e+02 
       3.147243080672e-01       6.652701561998e+02 
       3.252885918013e-01       6.224277836490e+02 
       3.362250506871e-01       5.843190902491e+02 
       3.475527634456e-01       5.506478230353e+02 
       3.592931544766e-01       5.192667861962e+02 
       3.714704223833e-01       4.881000623094e+02 
       3.841120596782e-01       4.568116765473e+02 
       3.972494897163e-01       4.267158072782e+02 
       4.109188560362e-01       3.991250082974e+02 
       4.251620121580e-01       3.739511022637e+02 
       4.400277783297e-01       3.500203558832e+02 
       4.555735585781e-01       3.265633872794e+02 
       4.718674512945e-01       3.039531166773e+02 
       4.889910469652e-01       2.828289440371e+02 
       5.070432001395e-01       2.630421747659e+02 
       5.261452110020e-01       2.440017252502e+02 
       5.464480935672e-01       2.256319360502e+02 
       5.681430133370e-01       2.082012330386e+02 
       5.914766822509e-01       1.915739510563e+02 
       6.167747709628e-01       1.754890824317e+02 
       6.444787955533e-01       1.599867267105e+02 
       6.752066794376e-01       1.449763184946e+02 
       7.098571168901e-01       1.302915296564e+02 
       7.497999800503e-01       1.158445816826e+02 
       7.972477907736e-01       1.014373464729e+02 
       8.560380780229e-01       8.685096062499e+01 
       9.334146027225e-01       7.177609089327e+01 
       1.044239720171e+00       5.589590127586e+01 
       1.218986108120e+00       3.939765504567e+01 
       1.498014049697e+00       2.451816436792e+01 
       1.882349720679e+00       1.435067336282e+01 
       2.369666943327e+00       8.282608284129e+00 
       2.983233651248e+00       4.738261939934e+00 
       3.755668652716e+00       2.689222913105e+00 
       4.728106705183e+00       1.515353756954e+00 
       5.952333680829e+00       8.483304803639e-01 
       7.493544130275e+00       4.720962423475e-01 
       9.433813130004e+00       2.612948134219e-01 
       1.187646707948e+01       1.438996220763e-01 
