# Matter power spectrum P(k) at redshift z=2
# for k=6.90078e-05 to 10.9522 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.900784530132e-05       1.835417921527e+01 
       8.687573006300e-05       3.423259467827e+01 
       1.093700642445e-04       5.314528419154e+01 
       1.376887531669e-04       7.531914853320e+01 
       1.733398702801e-04       1.015120799302e+02 
       2.182219675727e-04       1.328589787873e+02 
       2.747251803890e-04       1.708288762157e+02 
       3.458585108515e-04       2.172403791653e+02 
       4.354100681962e-04       2.743076241872e+02 
       5.481487994033e-04       3.446993758464e+02 
       6.900784530132e-04       4.315967951282e+02 
       8.687573006300e-04       5.387353339153e+02 
       1.093700642445e-03       6.704154856462e+02 
       1.376887531669e-03       8.314575998773e+02 
       1.733398702801e-03       1.027033050292e+03 
       2.182219675727e-03       1.262247477694e+03 
       2.747251803890e-03       1.541436499799e+03 
       3.458585108515e-03       1.867107599436e+03 
       4.354100681962e-03       2.236932279010e+03 
       5.481487994033e-03       2.646569555181e+03 
       6.900784530132e-03       3.080048169591e+03 
       8.687573006300e-03       3.510470509664e+03 
       1.093700642445e-02       3.895565934017e+03 
       1.376887531669e-02       4.175818370503e+03 
       1.733398701933e-02       4.279001426483e+03 
       2.182218349265e-02       4.140432715284e+03 
       2.746927810149e-02       3.748251164174e+03 
       3.440950840601e-02       3.209014991071e+03 
       4.119861064689e-02       2.787881344877e+03 
       4.607170889819e-02       2.571590234233e+03 
       4.992143943453e-02       2.440867838183e+03 
       5.328137334923e-02       2.345396852850e+03 
       5.637474563579e-02       2.265263937775e+03 
       5.931327690079e-02       2.190651448814e+03 
       6.216133506218e-02       2.116137763061e+03 
       6.495996348727e-02       2.038736698413e+03 
       6.773742079429e-02       1.957092053949e+03 
       7.051439020088e-02       1.871075438714e+03 
       7.330679722274e-02       1.781522487537e+03 
       7.612744411097e-02       1.690001958524e+03 
       7.898701209666e-02       1.598575855342e+03 
       8.189470427900e-02       1.509543378765e+03 
       8.485867353976e-02       1.425178340865e+03 
       8.788631620760e-02       1.347477937807e+03 
       9.098447873644e-02       1.277943253362e+03 
       9.415960618502e-02       1.217407617850e+03 
       9.741785064241e-02       1.165923291135e+03 
       1.007651513920e-01       1.122714705095e+03 
       1.042072946970e-01       1.086208631388e+03 
       1.077499586219e-01       1.054158773911e+03 
       1.113987467133e-01       1.023884742417e+03 
       1.151592133209e-01       9.926351251669e+02 
       1.190368826487e-01       9.580498340268e+02 
       1.230372631680e-01       9.186442599506e+02 
       1.271658587160e-01       8.741876769470e+02 
       1.314281774022e-01       8.258341107184e+02 
       1.358297393147e-01       7.759130149265e+02 
       1.403760839309e-01       7.273919075337e+02 
       1.450727780856e-01       6.831429756222e+02 
       1.499254253164e-01       6.452149301925e+02 
       1.549396773853e-01       6.143018714900e+02 
       1.601212487601e-01       5.895378757264e+02 
       1.654759348330e-01       5.686864000356e+02 
       1.710096346459e-01       5.487478465291e+02 
       1.767283788926e-01       5.269114654519e+02 
       1.826383639764e-01       5.015850258332e+02 
       1.887459929245e-01       4.730481903589e+02 
       1.950579240026e-01       4.433220440538e+02 
       2.015811279482e-01       4.152232090516e+02 
       2.083229548561e-01       3.910478372243e+02 
       2.152912119220e-01       3.715344967338e+02 
       2.224942534934e-01       3.555833779265e+02 
       2.299410852172e-01       3.408724775041e+02 
       2.376414845310e-01       3.251450604642e+02 
       2.456061403581e-01       3.075180766948e+02 
       2.538468156833e-01       2.889379010231e+02 
       2.623765377578e-01       2.713747837330e+02 
       2.712098221113e-01       2.563290953977e+02 
       2.803629384359e-01       2.437809381057e+02 
       2.898542289446e-01       2.323490050277e+02 
       2.997044932242e-01       2.205266420255e+02 
       3.099374582808e-01       2.079753652377e+02 
       3.205803589411e-01       1.956576658733e+02 
       3.316646628551e-01       1.846699085083e+02 
       3.432269872753e-01       1.750545124809e+02 
       3.553102735363e-01       1.658937233201e+02 
       3.679653127993e-01       1.565169134000e+02 
       3.812527582192e-01       1.472643412150e+02 
       3.952458226065e-01       1.387850902696e+02 
       4.100339612242e-01       1.309885394285e+02 
       4.257280017963e-01       1.233095082857e+02 
       4.424674538661e-01       1.157220296102e+02 
       4.604311935415e-01       1.085817547029e+02 
       4.798535461930e-01       1.017544296587e+02 
       5.010493246770e-01       9.499111537230e+01 
       5.244543687904e-01       8.844030140508e+01 
       5.506942684758e-01       8.200948006791e+01 
       5.807073437426e-01       7.559099234642e+01 
       6.159792013487e-01       6.914916585075e+01 
       6.590243551328e-01       6.253584982469e+01 
       7.144568816541e-01       5.558264805964e+01 
       7.915179635621e-01       4.804228781485e+01 
       9.095675580123e-01       3.967363849020e+01 
       1.100970262158e+00       3.083713316421e+01 
       1.378979549220e+00       2.320106845229e+01 
       1.735800755072e+00       1.747611528078e+01 
       2.185242091342e+00       1.315648504666e+01 
       2.751056797962e+00       9.823256150849e+00 
       3.463375312243e+00       7.223654090766e+00 
       4.360131191163e+00       5.201871510454e+00 
       5.489079955312e+00       3.652491081572e+00 
       6.910342243112e+00       2.493306875856e+00 
       8.699605454049e+00       1.652456313182e+00 
       1.095215437869e+01       1.064056421627e+00 
