Trial #              h                    Omega_b              Omega_cdm            A_s                  n_s                  Omega_k              w_0                  w_a                 
00000                0.894                0.04535              0.1915               1.655e-09            0.9753               0.02075              -1.3775              0.045               
00001                0.686                0.04115              0.2275               1.685e-09            0.9579               -0.00625             -0.7925              -0.023              
00002                0.79                 0.03695              0.1525               2.205e-09            0.9483               0.03245              -1.5425              0.053               
00003                0.818                0.02225              0.2725               2.475e-09            0.9357               -0.03685             -1.7375              -0.027              
00004                0.662                0.04325              0.3115               1.715e-09            0.9423               0.00095              -0.8975              0.099               
00005                0.706                0.04415              0.3805               2.215e-09            0.9897               0.00275              -0.8525              -0.043              
00006                0.506                0.04715              0.3535               1.975e-09            0.9573               0.04505              -1.9625              0.025               
00007                0.602                0.02255              0.2305               1.945e-09            0.9345               0.03875              -1.3025              0.079               
00008                0.57                 0.03365              0.3625               2.365e-09            0.9543               0.01535              -1.5725              0.091               
00009                0.514                0.04565              0.2635               2.305e-09            0.9387               -0.03145             -1.6325              0.059               
00010                0.85                 0.03755              0.2755               2.405e-09            0.9321               0.03695              -1.1525              -0.081              
00011                0.698                0.03095              0.2575               1.635e-09            0.9603               0.02705              -1.2275              0.027               
00012                0.53                 0.02675              0.2395               1.995e-09            0.9699               0.02435              -1.6025              0.033               
00013                0.67                 0.02825              0.2605               1.965e-09            0.9783               0.02615              -0.8675              0.003               
00014                0.774                0.02315              0.3955               1.985e-09            0.9477               -0.01795             -0.5675              -0.013              
00015                0.882                0.04085              0.2485               1.585e-09            0.9741               -0.02965             -0.9875              -0.057              
00016                0.778                0.02435              0.2035               1.745e-09            0.9351               -0.00085             -1.0625              -0.055              
00017                0.562                0.03065              0.2875               1.705e-09            0.9525               0.04145              -1.9925              0.063               
00018                0.81                 0.04145              0.2545               1.905e-09            0.9663               0.00905              -0.6725              -0.021              
00019                0.642                0.02015              0.3565               1.915e-09            0.9717               -0.03595             -1.8425              0.081               
00020                0.666                0.02885              0.2065               2.105e-09            0.9807               0.03605              -1.8125              -0.049              
00021                0.518                0.04265              0.2125               2.355e-09            0.9531               0.01805              -1.7825              -0.095              
00022                0.722                0.02705              0.3715               1.925e-09            0.9375               -0.03955             -1.0325              0.011               
00023                0.638                0.03245              0.3595               2.375e-09            0.9831               -0.00535             -0.9575              -0.061              
00024                0.71                 0.03485              0.3775               1.855e-09            0.9771               -0.02605             -0.5825              -0.017              
00025                0.786                0.03545              0.3835               1.605e-09            0.9447               -0.00355             -1.1375              -0.079              
00026                0.682                0.02735              0.1105               1.895e-09            0.9399               -0.02245             -1.4675              0.019               
00027                0.77                 0.04055              0.3175               2.085e-09            0.9801               0.01175              -0.8225              -0.015              
00028                0.61                 0.02105              0.1435               2.095e-09            0.9417               0.04055              -1.9475              -0.073              
00029                0.594                0.03305              0.1975               1.935e-09            0.9393               0.04415              -1.8275              0.043               
00030                0.878                0.02195              0.3655               1.795e-09            0.9585               0.03965              -0.7475              -0.087              
00031                0.874                0.03785              0.1345               2.385e-09            0.9609               -0.03055             -1.0025              -0.077              
00032                0.59                 0.04295              0.1225               1.545e-09            0.9555               0.04235              -1.6475              0.023               
00033                0.866                0.03665              0.1135               1.595e-09            0.9597               -0.00175             -0.9725              0.073               
00034                0.606                0.03725              0.3685               1.735e-09            0.9315               0.02255              -1.1975              -0.099              
00035                0.762                0.03515              0.1375               2.455e-09            0.9465               -0.03775             -1.2125              -0.059              
00036                0.634                0.03125              0.1075               2.295e-09            0.9339               -0.01345             -1.1825              0.021               
00037                0.822                0.03935              0.2245               2.165e-09            0.9789               0.02525              -0.7025              -0.045              
00038                0.834                0.02645              0.2005               2.235e-09            0.9723               0.02975              -0.6275              -0.037              
00039                0.502                0.02585              0.1825               1.815e-09            0.9381               0.04775              -1.4825              -0.063              
00040                0.782                0.02045              0.2155               2.335e-09            0.9537               -0.01615             -1.4975              -0.019              
00041                0.522                0.04865              0.3475               1.845e-09            0.9429               0.02345              -1.2425              -0.053              
00042                0.582                0.02465              0.2095               1.865e-09            0.9681               -0.02065             -0.5525              -0.007              
00043                0.89                 0.02375              0.3865               2.465e-09            0.9303               0.03515              -1.6175              0.077               
00044                0.694                0.04355              0.2905               2.255e-09            0.9459               -0.00985             -0.6125              0.065               
00045                0.826                0.03425              0.2965               2.035e-09            0.9435               0.00545              -1.6925              0.013               
00046                0.566                0.02345              0.3355               2.315e-09            0.9363               0.00365              -0.7325              -0.035              
00047                0.714                0.02135              0.1675               2.145e-09            0.9711               0.01265              -1.7075              -0.005              
00048                0.574                0.04985              0.1045               2.065e-09            0.9687               0.04595              -1.6625              0.047               
00049                0.65                 0.03395              0.3985               2.125e-09            0.9567               -0.01705             -1.9175              0.035               
00050                0.846                0.02285              0.3325               1.555e-09            0.9669               0.02885              -0.5975              0.061               
00051                0.558                0.04685              0.3925               1.695e-09            0.9441               -0.02335             -0.7775              0.089               
00052                0.69                 0.03905              0.2215               1.725e-09            0.9849               -0.02425             -1.9325              -0.003              
00053                0.806                0.03335              0.3745               1.625e-09            0.9621               -0.00445             -1.0175              0.071               
00054                0.702                0.04475              0.1465               2.075e-09            0.9333               -0.01885             -1.5275              0.031               
00055                0.794                0.03995              0.3385               2.155e-09            0.9729               -0.01075             -1.1225              0.093               
00056                0.674                0.04775              0.1585               1.885e-09            0.9471               0.01715              -1.0775              -0.069              
00057                0.534                0.02525              0.1885               2.185e-09            0.9411               -0.00805             -1.7525              -0.075              
00058                0.838                0.04205              0.2365               2.435e-09            0.9327               0.00995              -1.8725              0.051               
00059                0.614                0.03035              0.1405               2.115e-09            0.9693               -0.01525             -1.3625              -0.039              
00060                0.742                0.03635              0.3415               2.195e-09            0.9405               0.04865              -1.3925              0.097               
00061                0.738                0.02495              0.1705               2.245e-09            0.9867               5e-05                -1.4225              0.037               
00062                0.538                0.04505              0.3085               1.575e-09            0.9639               -0.03505             -1.3475              -0.041              
00063                0.726                0.02615              0.1855               1.775e-09            0.9657               -0.03325             -0.7625              -0.047              
00064                0.55                 0.04385              0.3235               1.645e-09            0.9501               -0.03235             -1.8875              0.067               
00065                0.754                0.03155              0.1765               1.825e-09            0.9879               0.00815              -1.4525              0.095               
00066                0.626                0.03875              0.2815               2.015e-09            0.9777               0.03425              -0.8375              0.017               
00067                0.858                0.04745              0.3295               1.755e-09            0.9735               -0.02155             -0.6875              0.075               
00068                0.646                0.04925              0.3445               1.805e-09            0.9705               -0.02875             -0.8825              0.015               
00069                0.586                0.03605              0.2515               1.675e-09            0.9885               -0.03865             -0.6575              0.057               
00070                0.654                0.02165              0.3505               2.415e-09            0.9489               0.01895              -1.5875              -0.051              
00071                0.862                0.04655              0.2785               2.275e-09            0.9633               -0.01255             -1.5125              0.039               
00072                0.83                 0.04175              0.2665               2.495e-09            0.9627               0.04325              -1.9025              0.029               
00073                0.618                0.03845              0.1615               2.265e-09            0.9453               0.04955              -1.4075              -0.065              
00074                0.526                0.04025              0.1645               2.175e-09            0.9891               0.00635              -1.2575              -0.031              
00075                0.886                0.04235              0.2455               2.395e-09            0.9645               0.01085              -1.7225              -0.029              
00076                0.746                0.02975              0.1165               2.345e-09            0.9513               -0.00265             -1.0475              0.069               
00077                0.73                 0.04835              0.1315               1.535e-09            0.9495               0.01355              -1.0925              -0.085              
00078                0.718                0.03455              0.2935               1.955e-09            0.9591               0.03335              -0.7175              -0.097              
00079                0.542                0.03815              0.2995               2.005e-09            0.9819               -0.03415             -0.9125              0.041               
00080                0.75                 0.03005              0.3265               2.325e-09            0.9747               0.00725              -0.6425              0.085               
00081                0.734                0.03965              0.1285               1.505e-09            0.9549               0.00185              -0.5225              -0.033              
00082                0.63                 0.04595              0.1015               1.665e-09            0.9861               -0.00715             -0.8075              -0.067              
00083                0.854                0.02945              0.1555               2.135e-09            0.9795               0.03065              -1.3175              -0.071              
00084                0.598                0.02855              0.3145               1.615e-09            0.9369               -0.02515             -1.1675              -0.025              
00085                0.842                0.03275              0.1735               1.835e-09            0.9873               -0.01165             -1.9775              0.055               
00086                0.87                 0.02405              0.1255               1.765e-09            0.9615               0.02795              -0.9425              0.007               
00087                0.51                 0.04955              0.1195               1.515e-09            0.9675               0.03155              -0.9275              -0.089              
00088                0.546                0.04805              0.3205               2.045e-09            0.9837               -0.02785             -1.4375              -0.009              
00089                0.658                0.03575              0.3895               2.425e-09            0.9813               0.04685              -0.5075              -0.011              
00090                0.622                0.03215              0.2335               2.225e-09            0.9561               -0.01975             -1.8575              -0.091              
00091                0.766                0.04445              0.1945               1.565e-09            0.9825               -0.01435             -1.6775              0.001               
00092                0.802                0.02075              0.1495               2.485e-09            0.9309               -0.02695             -1.2725              -0.093              
00093                0.898                0.02765              0.3055               2.055e-09            0.9855               0.00455              -1.7975              -0.001              
00094                0.554                0.02915              0.3025               2.285e-09            0.9507               0.02165              -1.5575              0.049               
00095                0.678                0.03185              0.2845               2.445e-09            0.9651               0.01445              -1.7675              0.087               
00096                0.758                0.02795              0.2695               1.785e-09            0.9519               0.01625              -1.3325              0.005               
00097                0.798                0.02555              0.1795               1.525e-09            0.9759               0.03785              -1.1075              0.083               
00098                0.578                0.04895              0.2185               1.875e-09            0.9843               0.01985              -0.5375              -0.083              
00099                0.814                0.04625              0.2425               2.025e-09            0.9765               -0.00895             -1.2875              0.009               
