Trial #              A_s                  n_s                 
00000                1.705e-09            0.9825              
00001                1.505e-09            0.9435              
00002                2.365e-09            0.9789              
00003                1.615e-09            0.9309              
00004                2.225e-09            0.9615              
00005                1.755e-09            0.9597              
00006                2.165e-09            0.9849              
00007                2.435e-09            0.9867              
00008                2.335e-09            0.9513              
00009                1.975e-09            0.9447              
00010                1.885e-09            0.9561              
00011                1.875e-09            0.9675              
00012                2.325e-09            0.9339              
00013                1.585e-09            0.9585              
00014                1.905e-09            0.9315              
00015                2.265e-09            0.9351              
00016                1.735e-09            0.9537              
00017                2.445e-09            0.9567              
00018                1.935e-09            0.9711              
00019                1.715e-09            0.9543              
00020                2.385e-09            0.9777              
00021                1.945e-09            0.9669              
00022                2.495e-09            0.9507              
00023                2.115e-09            0.9747              
00024                1.775e-09            0.9375              
00025                2.375e-09            0.9753              
00026                2.175e-09            0.9891              
00027                1.525e-09            0.9327              
00028                1.545e-09            0.9591              
00029                1.675e-09            0.9621              
00030                1.595e-09            0.9483              
00031                2.425e-09            0.9735              
00032                2.275e-09            0.9441              
00033                1.655e-09            0.9363              
00034                1.865e-09            0.9873              
00035                1.645e-09            0.9627              
00036                2.055e-09            0.9819              
00037                1.515e-09            0.9783              
00038                1.925e-09            0.9861              
00039                2.045e-09            0.9693              
00040                2.085e-09            0.9843              
00041                1.765e-09            0.9423              
00042                2.185e-09            0.9897              
00043                2.025e-09            0.9651              
00044                2.405e-09            0.9807              
00045                1.685e-09            0.9759              
00046                1.855e-09            0.9705              
00047                2.105e-09            0.9573              
00048                2.345e-09            0.9345              
00049                1.805e-09            0.9579              
00050                2.305e-09            0.9879              
00051                2.255e-09            0.9321              
00052                2.295e-09            0.9555              
00053                1.965e-09            0.9495              
00054                1.985e-09            0.9885              
00055                2.235e-09            0.9603              
00056                1.535e-09            0.9855              
00057                1.565e-09            0.9387              
00058                2.035e-09            0.9477              
00059                2.395e-09            0.9399              
00060                2.015e-09            0.9531              
00061                2.285e-09            0.9771              
00062                1.605e-09            0.9681              
00063                1.815e-09            0.9471              
00064                2.095e-09            0.9729              
00065                2.485e-09            0.9765              
00066                1.555e-09            0.9393              
00067                1.575e-09            0.9663              
00068                1.785e-09            0.9645              
00069                1.725e-09            0.9411              
00070                1.825e-09            0.9741              
00071                1.635e-09            0.9381              
00072                2.155e-09            0.9633              
00073                2.075e-09            0.9837              
00074                1.955e-09            0.9699              
00075                1.695e-09            0.9687              
00076                2.145e-09            0.9417              
00077                1.625e-09            0.9639              
00078                1.745e-09            0.9459              
00079                2.465e-09            0.9801              
00080                2.415e-09            0.9831              
00081                1.665e-09            0.9549              
00082                2.455e-09            0.9303              
00083                1.915e-09            0.9609              
00084                2.315e-09            0.9501              
00085                2.215e-09            0.9813              
00086                2.245e-09            0.9795              
00087                2.005e-09            0.9405              
00088                1.995e-09            0.9453              
00089                2.195e-09            0.9723              
00090                2.355e-09            0.9333              
00091                2.205e-09            0.9369              
00092                2.125e-09            0.9519              
00093                2.135e-09            0.9525              
00094                1.795e-09            0.9657              
00095                2.475e-09            0.9429              
00096                1.835e-09            0.9717              
00097                2.065e-09            0.9465              
00098                1.845e-09            0.9489              
00099                1.895e-09            0.9357              
