Trial #              Omega_b              A_s                 
00000                0.03545              1.655e-09           
00001                0.04355              1.525e-09           
00002                0.04655              1.715e-09           
00003                0.03005              2.055e-09           
00004                0.03395              1.905e-09           
00005                0.02435              2.035e-09           
00006                0.02015              1.555e-09           
00007                0.04685              2.185e-09           
00008                0.03965              2.015e-09           
00009                0.04595              1.585e-09           
00010                0.02975              2.255e-09           
00011                0.02375              1.975e-09           
00012                0.04325              2.355e-09           
00013                0.04955              2.325e-09           
00014                0.02405              1.825e-09           
00015                0.04805              1.915e-09           
00016                0.03995              1.735e-09           
00017                0.04775              1.615e-09           
00018                0.04475              2.065e-09           
00019                0.03695              2.415e-09           
00020                0.04025              2.105e-09           
00021                0.03215              2.305e-09           
00022                0.04835              2.435e-09           
00023                0.04265              2.285e-09           
00024                0.02135              1.835e-09           
00025                0.03575              2.365e-09           
00026                0.02855              2.195e-09           
00027                0.03815              1.955e-09           
00028                0.03785              1.805e-09           
00029                0.02945              2.265e-09           
00030                0.02585              1.775e-09           
00031                0.03635              2.235e-09           
00032                0.02765              2.135e-09           
00033                0.03095              1.855e-09           
00034                0.04865              1.765e-09           
00035                0.03125              2.175e-09           
00036                0.02915              2.125e-09           
00037                0.03065              2.215e-09           
00038                0.03725              1.745e-09           
00039                0.02675              2.405e-09           
00040                0.04295              2.425e-09           
00041                0.02045              2.155e-09           
00042                0.03935              2.205e-09           
00043                0.02165              2.375e-09           
00044                0.02195              2.485e-09           
00045                0.03755              1.865e-09           
00046                0.03365              2.005e-09           
00047                0.02525              1.635e-09           
00048                0.04055              1.895e-09           
00049                0.02645              1.705e-09           
00050                0.04115              1.605e-09           
00051                0.02075              2.315e-09           
00052                0.02105              2.465e-09           
00053                0.02735              1.925e-09           
00054                0.03905              1.755e-09           
00055                0.04175              2.075e-09           
00056                0.04505              1.565e-09           
00057                0.02465              1.995e-09           
00058                0.03155              2.145e-09           
00059                0.03245              2.345e-09           
00060                0.02315              2.295e-09           
00061                0.02255              1.645e-09           
00062                0.04895              2.085e-09           
00063                0.04145              1.845e-09           
00064                0.03665              1.725e-09           
00065                0.02825              2.335e-09           
00066                0.04985              2.095e-09           
00067                0.03335              1.875e-09           
00068                0.04445              2.025e-09           
00069                0.04745              1.595e-09           
00070                0.04925              1.535e-09           
00071                0.02345              2.455e-09           
00072                0.03515              2.225e-09           
00073                0.03875              1.515e-09           
00074                0.03605              1.625e-09           
00075                0.02285              2.475e-09           
00076                0.03275              1.885e-09           
00077                0.03845              1.815e-09           
00078                0.04625              2.045e-09           
00079                0.02795              1.685e-09           
00080                0.02495              1.505e-09           
00081                0.02225              1.935e-09           
00082                0.02705              2.445e-09           
00083                0.03485              2.275e-09           
00084                0.03035              1.575e-09           
00085                0.03185              1.665e-09           
00086                0.03305              1.945e-09           
00087                0.04565              1.675e-09           
00088                0.04085              1.965e-09           
00089                0.04715              2.115e-09           
00090                0.03425              1.985e-09           
00091                0.02615              1.545e-09           
00092                0.04535              2.395e-09           
00093                0.03455              2.495e-09           
00094                0.02555              1.695e-09           
00095                0.04205              1.795e-09           
00096                0.02885              2.385e-09           
00097                0.04415              1.785e-09           
00098                0.04385              2.165e-09           
00099                0.04235              2.245e-09           
