Trial #              Omega_b              n_s                 
00000                0.03215              0.9705              
00001                0.04535              0.9795              
00002                0.02975              0.9561              
00003                0.02315              0.9657              
00004                0.03155              0.9609              
00005                0.03845              0.9843              
00006                0.04655              0.9375              
00007                0.04955              0.9393              
00008                0.02705              0.9567              
00009                0.02555              0.9639              
00010                0.04235              0.9627              
00011                0.02915              0.9687              
00012                0.04685              0.9501              
00013                0.02795              0.9831              
00014                0.03575              0.9411              
00015                0.02165              0.9771              
00016                0.02435              0.9531              
00017                0.03665              0.9693              
00018                0.03335              0.9777              
00019                0.04295              0.9885              
00020                0.03905              0.9645              
00021                0.03485              0.9327              
00022                0.03275              0.9441              
00023                0.02075              0.9681              
00024                0.02945              0.9345              
00025                0.02015              0.9789              
00026                0.04895              0.9525              
00027                0.02825              0.9309              
00028                0.03035              0.9873              
00029                0.04715              0.9417              
00030                0.04745              0.9381              
00031                0.03785              0.9585              
00032                0.04085              0.9555              
00033                0.03875              0.9357              
00034                0.03005              0.9579              
00035                0.03995              0.9339              
00036                0.04055              0.9429              
00037                0.03935              0.9549              
00038                0.02765              0.9303              
00039                0.04565              0.9477              
00040                0.03545              0.9537              
00041                0.04415              0.9321              
00042                0.03755              0.9471              
00043                0.02255              0.9765              
00044                0.03065              0.9621              
00045                0.02885              0.9741              
00046                0.02195              0.9861              
00047                0.03425              0.9717              
00048                0.04115              0.9435              
00049                0.03245              0.9447              
00050                0.03305              0.9651              
00051                0.03965              0.9513              
00052                0.03095              0.9633              
00053                0.04475              0.9879              
00054                0.02105              0.9855              
00055                0.03185              0.9405              
00056                0.04025              0.9759              
00057                0.02225              0.9747              
00058                0.04925              0.9891              
00059                0.04835              0.9663              
00060                0.03695              0.9453              
00061                0.03815              0.9489              
00062                0.04595              0.9333              
00063                0.04775              0.9837              
00064                0.02285              0.9459              
00065                0.03395              0.9783              
00066                0.03125              0.9387              
00067                0.04985              0.9753              
00068                0.04505              0.9819              
00069                0.04325              0.9483              
00070                0.04205              0.9675              
00071                0.02855              0.9897              
00072                0.02645              0.9849              
00073                0.04355              0.9825              
00074                0.04625              0.9615              
00075                0.02345              0.9807              
00076                0.04265              0.9573              
00077                0.02405              0.9519              
00078                0.02615              0.9543              
00079                0.04175              0.9465              
00080                0.02525              0.9495              
00081                0.02135              0.9603              
00082                0.02495              0.9315              
00083                0.02585              0.9597              
00084                0.03455              0.9399              
00085                0.03725              0.9813              
00086                0.03365              0.9669              
00087                0.02465              0.9711              
00088                0.02045              0.9591              
00089                0.02735              0.9867              
00090                0.03635              0.9735              
00091                0.04145              0.9351              
00092                0.03515              0.9729              
00093                0.02675              0.9363              
00094                0.03605              0.9801              
00095                0.04805              0.9723              
00096                0.04445              0.9423              
00097                0.02375              0.9369              
00098                0.04385              0.9507              
00099                0.04865              0.9699              
