Trial #              Omega_cdm            A_s                 
00000                0.3265               1.785e-09           
00001                0.3655               1.655e-09           
00002                0.2155               1.545e-09           
00003                0.3535               2.335e-09           
00004                0.2245               2.085e-09           
00005                0.1315               1.925e-09           
00006                0.2755               2.005e-09           
00007                0.2035               1.705e-09           
00008                0.3415               1.945e-09           
00009                0.3565               2.115e-09           
00010                0.2185               1.745e-09           
00011                0.2785               1.575e-09           
00012                0.1375               1.735e-09           
00013                0.1675               2.095e-09           
00014                0.1915               1.555e-09           
00015                0.2875               1.995e-09           
00016                0.2395               2.145e-09           
00017                0.1825               2.495e-09           
00018                0.1555               1.975e-09           
00019                0.1525               2.365e-09           
00020                0.2515               2.175e-09           
00021                0.2605               2.255e-09           
00022                0.2365               2.465e-09           
00023                0.3835               2.105e-09           
00024                0.2095               1.535e-09           
00025                0.1165               2.025e-09           
00026                0.3715               2.235e-09           
00027                0.2125               2.435e-09           
00028                0.1345               1.615e-09           
00029                0.2425               1.565e-09           
00030                0.1255               2.345e-09           
00031                0.1975               1.525e-09           
00032                0.1105               1.865e-09           
00033                0.2905               2.035e-09           
00034                0.1615               2.295e-09           
00035                0.2965               1.645e-09           
00036                0.1075               2.405e-09           
00037                0.2575               1.805e-09           
00038                0.1735               1.845e-09           
00039                0.3625               1.515e-09           
00040                0.3325               2.375e-09           
00041                0.3745               2.415e-09           
00042                0.2995               2.125e-09           
00043                0.1135               1.775e-09           
00044                0.3775               2.385e-09           
00045                0.2725               2.155e-09           
00046                0.3595               1.505e-09           
00047                0.1285               1.715e-09           
00048                0.3085               2.445e-09           
00049                0.3175               1.625e-09           
00050                0.3475               1.605e-09           
00051                0.1195               1.725e-09           
00052                0.2065               1.875e-09           
00053                0.1645               1.665e-09           
00054                0.1495               1.675e-09           
00055                0.3145               2.205e-09           
00056                0.3865               2.045e-09           
00057                0.2455               1.855e-09           
00058                0.1945               2.135e-09           
00059                0.1765               2.315e-09           
00060                0.3895               1.765e-09           
00061                0.1015               2.425e-09           
00062                0.2275               2.195e-09           
00063                0.1045               2.305e-09           
00064                0.1225               2.455e-09           
00065                0.3505               2.225e-09           
00066                0.3385               1.815e-09           
00067                0.2305               2.015e-09           
00068                0.3955               2.485e-09           
00069                0.1585               2.185e-09           
00070                0.3805               1.595e-09           
00071                0.3055               1.795e-09           
00072                0.2215               2.215e-09           
00073                0.2695               1.835e-09           
00074                0.3685               2.265e-09           
00075                0.1885               1.935e-09           
00076                0.1855               2.245e-09           
00077                0.2815               1.905e-09           
00078                0.1795               2.275e-09           
00079                0.2545               1.825e-09           
00080                0.2635               2.285e-09           
00081                0.3985               2.355e-09           
00082                0.2845               1.885e-09           
00083                0.3925               1.955e-09           
00084                0.1435               2.075e-09           
00085                0.3295               1.635e-09           
00086                0.2485               1.965e-09           
00087                0.1705               2.055e-09           
00088                0.3115               2.475e-09           
00089                0.2935               1.695e-09           
00090                0.3205               1.985e-09           
00091                0.3445               1.585e-09           
00092                0.3355               1.755e-09           
00093                0.1465               2.395e-09           
00094                0.2665               1.915e-09           
00095                0.3025               2.165e-09           
00096                0.3235               2.065e-09           
00097                0.2005               2.325e-09           
00098                0.2335               1.895e-09           
00099                0.1405               1.685e-09           
