Trial #              Omega_cdm            Omega_b             
00000                0.1675               0.04415             
00001                0.3145               0.04955             
00002                0.1585               0.04865             
00003                0.3055               0.03905             
00004                0.1495               0.03155             
00005                0.2965               0.02525             
00006                0.1435               0.04895             
00007                0.2605               0.04445             
00008                0.3385               0.02315             
00009                0.3985               0.04475             
00010                0.3805               0.03335             
00011                0.2995               0.03515             
00012                0.3025               0.03395             
00013                0.2185               0.02015             
00014                0.1525               0.04025             
00015                0.3235               0.02135             
00016                0.2275               0.03305             
00017                0.1615               0.03965             
00018                0.2335               0.02165             
00019                0.1825               0.03785             
00020                0.3325               0.03245             
00021                0.1915               0.03005             
00022                0.1885               0.03995             
00023                0.2575               0.04385             
00024                0.2845               0.02195             
00025                0.2245               0.03605             
00026                0.3715               0.03275             
00027                0.3535               0.03425             
00028                0.2665               0.03815             
00029                0.3505               0.03755             
00030                0.1045               0.02765             
00031                0.3205               0.04805             
00032                0.1465               0.03125             
00033                0.3745               0.03095             
00034                0.1645               0.04355             
00035                0.2395               0.03185             
00036                0.2935               0.02585             
00037                0.2215               0.04205             
00038                0.1105               0.04535             
00039                0.1075               0.02105             
00040                0.1555               0.03665             
00041                0.1195               0.02255             
00042                0.2425               0.04835             
00043                0.2635               0.04295             
00044                0.1165               0.03545             
00045                0.1345               0.03485             
00046                0.1375               0.03845             
00047                0.1015               0.02495             
00048                0.3865               0.03365             
00049                0.2095               0.03635             
00050                0.3925               0.03215             
00051                0.1795               0.02825             
00052                0.2755               0.02615             
00053                0.2065               0.02285             
00054                0.3295               0.04085             
00055                0.2365               0.03875             
00056                0.3475               0.02915             
00057                0.1705               0.02675             
00058                0.2545               0.02885             
00059                0.3895               0.04265             
00060                0.1255               0.04505             
00061                0.1315               0.03935             
00062                0.2125               0.02405             
00063                0.2785               0.03575             
00064                0.3835               0.04985             
00065                0.1855               0.03695             
00066                0.2875               0.02645             
00067                0.2815               0.04145             
00068                0.3355               0.04715             
00069                0.1765               0.02795             
00070                0.2155               0.03455             
00071                0.1735               0.03725             
00072                0.2485               0.04325             
00073                0.3955               0.02045             
00074                0.3415               0.02465             
00075                0.1405               0.04175             
00076                0.3265               0.04595             
00077                0.2695               0.04775             
00078                0.3115               0.02855             
00079                0.2005               0.04115             
00080                0.3085               0.02075             
00081                0.3445               0.04235             
00082                0.1975               0.04625             
00083                0.2455               0.04565             
00084                0.2305               0.02735             
00085                0.2515               0.02555             
00086                0.3775               0.02705             
00087                0.3685               0.02345             
00088                0.1945               0.02945             
00089                0.2905               0.04655             
00090                0.1285               0.04745             
00091                0.3655               0.02225             
00092                0.3175               0.04055             
00093                0.1225               0.02375             
00094                0.2725               0.02435             
00095                0.3625               0.03065             
00096                0.3565               0.04925             
00097                0.2035               0.02975             
00098                0.1135               0.03035             
00099                0.3595               0.04685             
