Trial #              Omega_cdm            n_s                 
00000                0.3505               0.9639              
00001                0.2815               0.9693              
00002                0.1135               0.9855              
00003                0.2035               0.9867              
00004                0.1255               0.9645              
00005                0.1075               0.9897              
00006                0.1165               0.9579              
00007                0.3895               0.9747              
00008                0.2485               0.9549              
00009                0.1555               0.9825              
00010                0.1285               0.9405              
00011                0.3295               0.9723              
00012                0.1825               0.9327              
00013                0.2755               0.9459              
00014                0.2155               0.9891              
00015                0.2065               0.9711              
00016                0.2305               0.9399              
00017                0.1765               0.9681              
00018                0.3235               0.9561              
00019                0.3595               0.9717              
00020                0.2725               0.9411              
00021                0.3955               0.9861              
00022                0.1855               0.9363              
00023                0.1045               0.9555              
00024                0.2245               0.9513              
00025                0.2515               0.9507              
00026                0.2995               0.9873              
00027                0.3325               0.9843              
00028                0.3205               0.9627              
00029                0.3565               0.9741              
00030                0.3415               0.9357              
00031                0.1465               0.9345              
00032                0.2905               0.9441              
00033                0.2095               0.9699              
00034                0.3685               0.9303              
00035                0.3805               0.9603              
00036                0.1945               0.9783              
00037                0.2335               0.9789              
00038                0.1015               0.9801              
00039                0.1315               0.9753              
00040                0.3115               0.9591              
00041                0.3625               0.9621              
00042                0.3055               0.9429              
00043                0.1495               0.9309              
00044                0.1795               0.9321              
00045                0.3865               0.9501              
00046                0.2605               0.9375              
00047                0.2875               0.9447              
00048                0.2785               0.9759              
00049                0.1225               0.9423              
00050                0.1915               0.9471              
00051                0.2575               0.9573              
00052                0.3025               0.9519              
00053                0.3655               0.9453              
00054                0.2545               0.9651              
00055                0.1435               0.9879              
00056                0.2275               0.9735              
00057                0.3715               0.9393              
00058                0.3985               0.9477              
00059                0.3775               0.9885              
00060                0.3175               0.9831              
00061                0.1735               0.9567              
00062                0.1375               0.9675              
00063                0.1675               0.9807              
00064                0.1405               0.9435              
00065                0.3355               0.9657              
00066                0.2395               0.9813              
00067                0.3145               0.9615              
00068                0.1105               0.9381              
00069                0.2965               0.9333              
00070                0.2935               0.9837              
00071                0.1585               0.9771              
00072                0.2425               0.9351              
00073                0.2005               0.9339              
00074                0.1705               0.9633              
00075                0.2185               0.9849              
00076                0.2125               0.9765              
00077                0.2215               0.9687              
00078                0.3475               0.9417              
00079                0.3385               0.9795              
00080                0.3745               0.9483              
00081                0.1525               0.9777              
00082                0.2695               0.9387              
00083                0.3535               0.9663              
00084                0.2665               0.9729              
00085                0.3925               0.9465              
00086                0.2845               0.9543              
00087                0.2635               0.9819              
00088                0.1195               0.9525              
00089                0.3085               0.9585              
00090                0.2365               0.9537              
00091                0.1975               0.9609              
00092                0.1345               0.9531              
00093                0.1615               0.9369              
00094                0.3265               0.9489              
00095                0.3445               0.9669              
00096                0.2455               0.9705              
00097                0.1645               0.9597              
00098                0.3835               0.9315              
00099                0.1885               0.9495              
