Trial #              h                    A_s                 
00000                0.862                2.445e-09           
00001                0.834                1.865e-09           
00002                0.714                1.785e-09           
00003                0.706                2.045e-09           
00004                0.89                 2.435e-09           
00005                0.838                1.715e-09           
00006                0.506                2.035e-09           
00007                0.79                 1.965e-09           
00008                0.546                2.365e-09           
00009                0.59                 1.995e-09           
00010                0.718                1.875e-09           
00011                0.754                1.665e-09           
00012                0.826                2.265e-09           
00013                0.738                2.495e-09           
00014                0.63                 2.075e-09           
00015                0.67                 2.095e-09           
00016                0.878                2.485e-09           
00017                0.814                2.115e-09           
00018                0.542                2.215e-09           
00019                0.85                 2.255e-09           
00020                0.582                1.985e-09           
00021                0.678                1.545e-09           
00022                0.69                 1.535e-09           
00023                0.538                1.655e-09           
00024                0.61                 2.195e-09           
00025                0.794                2.475e-09           
00026                0.598                2.385e-09           
00027                0.622                2.405e-09           
00028                0.634                1.675e-09           
00029                0.558                1.945e-09           
00030                0.742                1.805e-09           
00031                0.606                1.565e-09           
00032                0.51                 2.345e-09           
00033                0.65                 2.235e-09           
00034                0.766                1.855e-09           
00035                0.642                1.705e-09           
00036                0.578                1.685e-09           
00037                0.702                1.505e-09           
00038                0.662                1.765e-09           
00039                0.682                1.975e-09           
00040                0.81                 1.645e-09           
00041                0.898                1.725e-09           
00042                0.53                 2.205e-09           
00043                0.602                1.835e-09           
00044                0.778                1.895e-09           
00045                0.822                1.905e-09           
00046                0.502                1.525e-09           
00047                0.574                2.285e-09           
00048                0.75                 2.025e-09           
00049                0.77                 2.135e-09           
00050                0.762                1.615e-09           
00051                0.526                1.795e-09           
00052                0.782                1.775e-09           
00053                0.746                1.585e-09           
00054                0.806                1.825e-09           
00055                0.786                2.055e-09           
00056                0.534                1.555e-09           
00057                0.518                1.885e-09           
00058                0.674                1.955e-09           
00059                0.594                2.085e-09           
00060                0.698                1.735e-09           
00061                0.842                1.925e-09           
00062                0.83                 1.605e-09           
00063                0.566                2.105e-09           
00064                0.894                2.175e-09           
00065                0.654                2.355e-09           
00066                0.614                2.465e-09           
00067                0.57                 1.815e-09           
00068                0.73                 2.425e-09           
00069                0.586                1.635e-09           
00070                0.726                2.375e-09           
00071                0.554                1.755e-09           
00072                0.694                2.065e-09           
00073                0.874                2.295e-09           
00074                0.658                2.125e-09           
00075                0.774                1.745e-09           
00076                0.686                2.185e-09           
00077                0.646                2.015e-09           
00078                0.882                2.225e-09           
00079                0.71                 1.595e-09           
00080                0.514                2.325e-09           
00081                0.87                 2.005e-09           
00082                0.758                1.695e-09           
00083                0.638                1.515e-09           
00084                0.818                2.335e-09           
00085                0.618                1.935e-09           
00086                0.626                2.155e-09           
00087                0.858                1.575e-09           
00088                0.866                2.315e-09           
00089                0.886                2.305e-09           
00090                0.522                1.625e-09           
00091                0.722                1.845e-09           
00092                0.734                2.455e-09           
00093                0.798                2.145e-09           
00094                0.562                2.275e-09           
00095                0.846                2.415e-09           
00096                0.854                2.165e-09           
00097                0.802                2.395e-09           
00098                0.666                2.245e-09           
00099                0.55                 1.915e-09           
