Trial #              h                    Omega_b             
00000                0.562                0.02585             
00001                0.63                 0.04835             
00002                0.566                0.03065             
00003                0.818                0.02465             
00004                0.57                 0.03755             
00005                0.854                0.02405             
00006                0.67                 0.02915             
00007                0.558                0.02045             
00008                0.778                0.02075             
00009                0.518                0.03035             
00010                0.586                0.02945             
00011                0.53                 0.04385             
00012                0.742                0.03005             
00013                0.698                0.04025             
00014                0.622                0.04445             
00015                0.606                0.04235             
00016                0.714                0.04775             
00017                0.87                 0.02825             
00018                0.798                0.03275             
00019                0.882                0.04955             
00020                0.666                0.03665             
00021                0.59                 0.02645             
00022                0.842                0.02765             
00023                0.75                 0.02165             
00024                0.55                 0.04745             
00025                0.682                0.03785             
00026                0.506                0.02285             
00027                0.822                0.04925             
00028                0.814                0.03635             
00029                0.746                0.04685             
00030                0.69                 0.04055             
00031                0.722                0.04595             
00032                0.754                0.03425             
00033                0.766                0.03485             
00034                0.85                 0.03695             
00035                0.514                0.04415             
00036                0.618                0.02555             
00037                0.642                0.03365             
00038                0.762                0.03335             
00039                0.51                 0.04565             
00040                0.638                0.02615             
00041                0.89                 0.02435             
00042                0.866                0.02795             
00043                0.81                 0.03725             
00044                0.634                0.02105             
00045                0.706                0.04115             
00046                0.658                0.04205             
00047                0.886                0.03545             
00048                0.654                0.03575             
00049                0.702                0.02855             
00050                0.598                0.03845             
00051                0.786                0.02345             
00052                0.802                0.04655             
00053                0.61                 0.04175             
00054                0.774                0.02975             
00055                0.574                0.04475             
00056                0.578                0.03995             
00057                0.554                0.04265             
00058                0.858                0.03185             
00059                0.686                0.04895             
00060                0.758                0.04085             
00061                0.694                0.03965             
00062                0.77                 0.04145             
00063                0.71                 0.03215             
00064                0.602                0.02225             
00065                0.522                0.03815             
00066                0.718                0.04355             
00067                0.73                 0.04535             
00068                0.782                0.02375             
00069                0.806                0.04865             
00070                0.726                0.03245             
00071                0.674                0.03305             
00072                0.738                0.02675             
00073                0.662                0.04985             
00074                0.874                0.03605             
00075                0.678                0.02495             
00076                0.894                0.02525             
00077                0.534                0.03515             
00078                0.838                0.03935             
00079                0.83                 0.03395             
00080                0.542                0.04625             
00081                0.526                0.02885             
00082                0.878                0.04505             
00083                0.65                 0.03095             
00084                0.614                0.02255             
00085                0.898                0.02135             
00086                0.502                0.04715             
00087                0.546                0.02315             
00088                0.79                 0.03875             
00089                0.826                0.04805             
00090                0.862                0.02195             
00091                0.734                0.03125             
00092                0.538                0.03905             
00093                0.834                0.03155             
00094                0.594                0.02735             
00095                0.646                0.04325             
00096                0.846                0.02705             
00097                0.582                0.03455             
00098                0.794                0.04295             
00099                0.626                0.02015             
