Trial #              h                    Omega_cdm           
00000                0.622                0.2995              
00001                0.878                0.1345              
00002                0.658                0.1105              
00003                0.87                 0.3265              
00004                0.862                0.3295              
00005                0.85                 0.2845              
00006                0.81                 0.2185              
00007                0.618                0.2635              
00008                0.642                0.3955              
00009                0.71                 0.1075              
00010                0.898                0.2815              
00011                0.55                 0.3535              
00012                0.582                0.3205              
00013                0.766                0.2305              
00014                0.514                0.2965              
00015                0.602                0.2515              
00016                0.734                0.3475              
00017                0.63                 0.2425              
00018                0.706                0.3595              
00019                0.506                0.1405              
00020                0.614                0.1045              
00021                0.61                 0.1525              
00022                0.718                0.1195              
00023                0.578                0.2485              
00024                0.874                0.2695              
00025                0.694                0.2365              
00026                0.754                0.1885              
00027                0.786                0.1015              
00028                0.782                0.3115              
00029                0.814                0.2575              
00030                0.534                0.3625              
00031                0.75                 0.2245              
00032                0.77                 0.2935              
00033                0.562                0.2725              
00034                0.846                0.1255              
00035                0.79                 0.2275              
00036                0.634                0.3685              
00037                0.762                0.1375              
00038                0.73                 0.2395              
00039                0.794                0.1225              
00040                0.758                0.1165              
00041                0.518                0.1585              
00042                0.838                0.1285              
00043                0.894                0.1465              
00044                0.65                 0.3655              
00045                0.554                0.1855              
00046                0.826                0.3355              
00047                0.686                0.2755              
00048                0.83                 0.3175              
00049                0.546                0.3865              
00050                0.798                0.3895              
00051                0.866                0.3445              
00052                0.566                0.3805              
00053                0.522                0.3025              
00054                0.662                0.3415              
00055                0.738                0.3325              
00056                0.806                0.1675              
00057                0.558                0.2785              
00058                0.702                0.3745              
00059                0.666                0.2665              
00060                0.674                0.1705              
00061                0.51                 0.2005              
00062                0.722                0.1945              
00063                0.802                0.2125              
00064                0.646                0.3775              
00065                0.59                 0.1735              
00066                0.678                0.1795              
00067                0.834                0.2035              
00068                0.626                0.1825              
00069                0.714                0.1315              
00070                0.818                0.3505              
00071                0.774                0.1765              
00072                0.586                0.1615              
00073                0.698                0.3835              
00074                0.57                 0.2875              
00075                0.778                0.3145              
00076                0.882                0.2095              
00077                0.574                0.2455              
00078                0.89                 0.2335              
00079                0.682                0.1645              
00080                0.886                0.2215              
00081                0.538                0.3925              
00082                0.67                 0.2905              
00083                0.69                 0.1975              
00084                0.638                0.1135              
00085                0.822                0.2545              
00086                0.53                 0.1435              
00087                0.594                0.2605              
00088                0.842                0.3715              
00089                0.654                0.3055              
00090                0.726                0.3085              
00091                0.542                0.3565              
00092                0.502                0.1915              
00093                0.742                0.2065              
00094                0.606                0.3235              
00095                0.598                0.3385              
00096                0.746                0.1495              
00097                0.526                0.1555              
00098                0.858                0.3985              
00099                0.854                0.2155              
