Trial #              h                    n_s                 
00000                0.642                0.9645              
00001                0.894                0.9813              
00002                0.858                0.9735              
00003                0.774                0.9501              
00004                0.694                0.9759              
00005                0.622                0.9669              
00006                0.558                0.9615              
00007                0.674                0.9627              
00008                0.646                0.9897              
00009                0.822                0.9657              
00010                0.834                0.9495              
00011                0.602                0.9795              
00012                0.626                0.9609              
00013                0.658                0.9687              
00014                0.514                0.9405              
00015                0.862                0.9447              
00016                0.706                0.9855              
00017                0.57                 0.9807              
00018                0.802                0.9891              
00019                0.782                0.9453              
00020                0.838                0.9675              
00021                0.798                0.9831              
00022                0.874                0.9579              
00023                0.662                0.9885              
00024                0.65                 0.9411              
00025                0.87                 0.9369              
00026                0.882                0.9591              
00027                0.754                0.9711              
00028                0.83                 0.9681              
00029                0.85                 0.9597              
00030                0.506                0.9585              
00031                0.534                0.9333              
00032                0.886                0.9381              
00033                0.522                0.9747              
00034                0.89                 0.9459              
00035                0.562                0.9465              
00036                0.67                 0.9867              
00037                0.79                 0.9345              
00038                0.538                0.9837              
00039                0.678                0.9393              
00040                0.742                0.9321              
00041                0.698                0.9537              
00042                0.778                0.9315              
00043                0.59                 0.9339              
00044                0.502                0.9327              
00045                0.614                0.9753              
00046                0.746                0.9513              
00047                0.826                0.9717              
00048                0.69                 0.9435              
00049                0.634                0.9429              
00050                0.738                0.9723              
00051                0.618                0.9639              
00052                0.806                0.9375              
00053                0.866                0.9471              
00054                0.586                0.9363              
00055                0.682                0.9801              
00056                0.766                0.9567              
00057                0.542                0.9555              
00058                0.854                0.9387              
00059                0.786                0.9879              
00060                0.726                0.9417              
00061                0.566                0.9477              
00062                0.878                0.9705              
00063                0.846                0.9633              
00064                0.51                 0.9789              
00065                0.582                0.9849              
00066                0.77                 0.9561              
00067                0.518                0.9525              
00068                0.818                0.9825              
00069                0.606                0.9693              
00070                0.898                0.9423              
00071                0.654                0.9549              
00072                0.598                0.9507              
00073                0.714                0.9441              
00074                0.814                0.9357              
00075                0.638                0.9765              
00076                0.75                 0.9783              
00077                0.734                0.9843              
00078                0.758                0.9351              
00079                0.702                0.9777              
00080                0.554                0.9771              
00081                0.594                0.9603              
00082                0.526                0.9819              
00083                0.722                0.9543              
00084                0.71                 0.9861              
00085                0.686                0.9489              
00086                0.578                0.9699              
00087                0.53                 0.9399              
00088                0.61                 0.9519              
00089                0.794                0.9651              
00090                0.81                 0.9573              
00091                0.842                0.9663              
00092                0.55                 0.9309              
00093                0.73                 0.9531              
00094                0.666                0.9621              
00095                0.63                 0.9303              
00096                0.574                0.9729              
00097                0.718                0.9483              
00098                0.762                0.9741              
00099                0.546                0.9873              
